x,flux_0,flux_1,vf_0,vf_1
2.6,0.46285229226309277,0.009669410024848737,0.5421658127925575,0.45783418720744246
2.61,0.46142672350922537,0.009635025423313414,0.5424621410863313,0.45753785891366866
2.62,0.4600066735777196,0.009602112489960245,0.5427572619078276,0.4572427380921724
2.63,0.45859211538021505,0.009570542095923899,0.5430511801772288,0.45694881982277125
2.64,0.45718302177331416,0.009540196559154486,0.5433439007946689,0.4566560992053311
2.65,0.45577936558169685,0.009510968630724866,0.5436354286403149,0.4563645713596851
2.66,0.45438111961898764,0.00948276057087829,0.5439257685744481,0.456074231425552
2.67,0.4529882567065836,0.00945548330687401,0.5442149254375451,0.4557850745624549
2.68,0.45160074969062336,0.009429055665391175,0.5445029040503591,0.455497095949641
2.69,0.4502185714572704,0.009403403672892,0.544789709213999,0.4552102907860009
2.7,0.44884169494646,0.00937845991792897,0.5450753457100115,0.4549246542899886
2.71,0.4474700931642549,0.009354162969913253,0.545359818300458,0.454640181699542
2.72,0.4461037391939294,0.009330456849346585,0.5456431317279967,0.4543568682720033
2.73,0.44474260620590517,0.00930729054496116,0.5459252907159602,0.45407470928403987
2.74,0.4433866674666375,0.009284617573615164,0.5462062999684343,0.45379370003156566
2.75,0.44203589634655355,0.0092623955791592,0.5464861641703371,0.4535138358296628
2.76,0.44069026632712427,0.00924058596682354,0.5467648879874965,0.4532351120125035
2.77,0.43934975100715307,0.00921915356998178,0.5470424760667281,0.4529575239332719
2.78,0.43801432410835256,0.009198066346424488,0.547318933035913,0.4526810669640871
2.79,0.43668395948027316,0.009177295101530345,0.547594263504074,0.4524057364959259
2.8,0.4353586311046449,0.009156813235953383,0.5478684720614544,0.45213152793854555
2.81,0.434020564770431,0.009124996350026797,0.5481773944988262,0.45182260550117376
2.82,0.43268771768913067,0.009094551392928982,0.5484850497862521,0.4515149502137478
2.83,0.431360063737174,0.009065357730045118,0.5487914431213767,0.4512085568786232
2.84,0.43003757674995385,0.00903730542283018,0.5490965796805245,0.45090342031947545
2.85,0.42872023054327413,0.009010294281502412,0.5494004646187876,0.45059953538121245
2.86,0.42740799893270315,0.008984233001607594,0.5497031030701125,0.45029689692988745
2.87,0.42610085575101997,0.008959038377030517,0.5500045001473877,0.4499954998526124
2.88,0.42479877486393014,0.008934634582687196,0.5503046609425286,0.4496953390574714
2.89,0.42350173018420345,0.008910952520729864,0.5506035905265652,0.44939640947343484
2.9,0.4222096956843838,0.008887929224642807,0.5509012939497264,0.4490987060502735
2.91,0.42092264540819546,0.008865507316104379,0.5511977762415263,0.4488022237584737
2.92,0.4196405534807692,0.008843634509944303,0.5514930424108484,0.44850695758915166
2.93,0.4183633941177925,0.008822263162938458,0.5517870974460306,0.4482129025539694
2.94,0.41709114163368594,0.0088013498625604,0.5520799463149497,0.4479200536850502
